text,label
"Hôm nay tôi đi làm muộn.","Negative"
"Tôi vừa hoàn thành dự án!","Positive"
"Cuộc họp hôm nay khá hiệu quả.","Positive"
"Tôi cảm thấy hơi mệt mỏi với deadline.","Negative"
"Bài giảng hôm nay dễ hiểu.","Positive"
"Sếp vừa giao thêm việc mới.","Neutral"
"Tôi không hiểu sao code chạy lỗi hoài.","Negative"
"Tôi được đồng nghiệp giúp đỡ nhiệt tình.","Positive"
"Buổi học nhóm diễn ra đúng kế hoạch.","Neutral"
"Tôi nhận được email phản hồi tích cực từ khách hàng.","Positive"
"Áp lực công việc dạo này hơi lớn.","Negative"
"Chỉ tiêu tháng này đã đạt được.","Positive"
"Trời mưa nên tôi hơi ngại đi học.","Negative"
"Tài liệu tham khảo khá đầy đủ.","Neutral"
"Tôi tìm ra lỗi sai trong báo cáo.","Neutral"
"Tôi thuyết trình thành công ngoài mong đợi.","Positive"
"Máy tính lại bị treo, tôi mất hết dữ liệu chưa lưu.","Negative"
"Tôi học được một kỹ năng mới rất hữu ích.","Positive"
"Lịch thi đã được công bố.","Neutral"
"Tôi chán nản vì công việc lặp đi lặp lại.","Negative"
"Không khí làm việc trong team rất tốt.","Positive"
"Điểm kiểm tra giữa kỳ của tôi không cao lắm.","Negative"
"Tôi đang chuẩn bị cho buổi phỏng vấn chiều nay.","Neutral"
"Tôi vui vì được tăng lương.","Positive"
"Tôi trễ giờ nộp bài tập lớn.","Negative"
"Tôi đang đọc quy trình làm việc mới.","Neutral"
"Tôi giải quyết xong vấn đề khó khăn của khách hàng.","Positive"
"Tôi cảm thấy lạc lõng trong môi trường mới.","Negative"
"Tôi tham gia seminar thấy cũng bình thường.","Neutral"
"Tôi mong chờ kỳ nghỉ lễ sắp tới.","Positive"
"Lại một ngày làm việc bình thường.","Neutral"
"Tôi bị sếp phê bình vì sai sót.","Negative"
"Ý tưởng mới được mọi người đón nhận.","Positive"
"Tôi đang phân vân không biết nên chọn khóa học nào.","Neutral"
"Tôi hoàn thành khóa học online đúng hạn.","Positive"
"Tôi mất tập trung khi học bài.","Negative"
"Tôi gửi email xin nghỉ phép.","Neutral"
"Dự án mới có vẻ thú vị.","Positive"
"Tôi quên mất lịch họp sáng nay.","Negative"
"Tôi đọc email thông báo nội bộ.","Neutral"
"Tôi hài lòng với kết quả bài thi cuối kỳ.","Positive"
"Công việc hiện tại không có gì tiến triển.","Negative"
"Tôi sắp xếp lại bàn làm việc cho gọn gàng.","Neutral"
"Tôi được cử đi đào tạo chuyên môn.","Positive"
"Tôi cảm thấy quá tải với bài tập về nhà.","Negative"
"Tôi đang cập nhật hồ sơ cá nhân trên hệ thống công ty.","Neutral"
"Tôi rất vui khi nhận được offer công việc mới.","Positive"
"Mạng công ty chậm quá, làm việc không hiệu quả.","Negative"
"Tôi đã nộp báo cáo thực tập.","Neutral"
"Tôi tự hào về thành tích học tập của mình.","Positive"
"Tôi hoàn thành xuất sắc bài thuyết trình quan trọng.","Positive"
"Tôi cảm thấy kiệt sức sau một ngày dài làm việc.","Negative"
"Tôi đang xem lại ghi chú buổi học trước.","Neutral"
"Tôi nhận được lời khen từ giáo viên hướng dẫn.","Positive"
"Tôi gặp khó khăn khi giải bài tập này.","Negative"
"Lịch làm việc tuần này khá dày đặc.","Neutral"
"Team vừa đạt được mục tiêu quý.","Positive"
"Tôi không hài lòng với chất lượng buổi họp online.","Negative"
"Tôi đang chuẩn bị tài liệu cho cuộc họp chiều mai.","Neutral"
"Tôi tìm được nguồn tài liệu tham khảo rất hay.","Positive"
"Deadline đang đến rất gần, tôi hơi lo lắng.","Negative"
"Tôi chỉ đơn giản là đang kiểm tra email công việc.","Neutral"
"Tôi học hỏi được nhiều điều từ đồng nghiệp mới.","Positive"
"Tôi cảm thấy lạc hậu với công nghệ mới của công ty.","Negative"
"Tôi đã đăng ký tham gia khóa học kỹ năng mềm.","Neutral"
"Tôi rất vui vì ý tưởng của mình được chấp nhận.","Positive"
"Tôi mất khá nhiều thời gian để sửa lỗi code.","Negative"
"Tôi đang soạn thảo hợp đồng cho khách hàng.","Neutral"
"Kết quả học tập kỳ này của tôi tiến bộ rõ rệt.","Positive"
"Buổi phỏng vấn không được như tôi mong đợi.","Negative"
"Tôi tham gia buổi định hướng cho sinh viên mới.","Neutral"
"Tôi được thăng chức lên vị trí mới!","Positive"
"Tôi cảm thấy nhàm chán với công việc hiện tại.","Negative"
"Tôi đang cập nhật tiến độ dự án.","Neutral"
"Tôi hoàn thành bài kiểm tra sớm hơn dự kiến.","Positive"
"Tôi không tìm thấy tài liệu cần thiết trong thư viện.","Negative"
"Tôi đọc thông báo về lịch nghỉ lễ.","Neutral"
"Tôi nhận được phần thưởng nhân viên xuất sắc tháng.","Positive"
"Tôi tranh cãi với đồng nghiệp về phương án thực hiện.","Negative"
"Tôi gửi báo cáo tuần cho quản lý.","Neutral"
"Bài giảng hôm nay rất truyền cảm hứng.","Positive"
"Điểm số môn chuyên ngành của tôi hơi thấp.","Negative"
"Tôi đang đợi phản hồi từ nhà tuyển dụng.","Neutral"
"Tôi hài lòng với môi trường làm việc năng động.","Positive"
"Máy in văn phòng lại hỏng.","Negative"
"Tôi tham dự webinar về xu hướng ngành.","Neutral"
"Tôi giải quyết thành công một khiếu nại phức tạp.","Positive"
"Tôi cảm thấy áp lực khi phải chạy đua với chỉ tiêu.","Negative"
"Tôi xem lại lịch học và lịch thi.","Neutral"
"Tôi tự học thêm một ngôn ngữ lập trình mới.","Positive"
"Tôi quên lưu file và bị mất dữ liệu quan trọng.","Negative"
"Tôi đang lên kế hoạch học tập cho kỳ mới.","Neutral"
"Tôi được sếp tin tưởng giao phó dự án lớn.","Positive"
"Công việc chồng chất, tôi không biết bắt đầu từ đâu.","Negative"
"Tôi chỉ đang lướt qua các tin tức nội bộ.","Neutral"
"Tôi tốt nghiệp với tấm bằng loại Giỏi!","Positive"
"Tôi cảm thấy bị đối xử không công bằng trong nhóm.","Negative"
"Tôi đang chuẩn bị slide cho buổi báo cáo tuần sau.","Neutral"
"Tôi nhận được học bổng du học.","Positive"
"Tôi làm việc quá giờ liên tục mấy ngày nay.","Negative"
"Tôi đang tìm kiếm thông tin cho bài luận.","Neutral"
"Khách hàng rất hài lòng với sản phẩm.","Positive"
"Tôi gặp sự cố kỹ thuật khi đang thuyết trình online.","Negative"
"Tôi đang chờ xác nhận lịch họp từ đối tác.","Neutral"
"Tôi tự tin hơn vào khả năng của bản thân sau khóa học.","Positive"
"Tôi cảm thấy thiếu động lực để đi làm.","Negative"
"Tôi đang xem xét các lựa chọn nghề nghiệp.","Neutral"
"Tôi đạt được chứng chỉ chuyên môn mới.","Positive"
"Tôi bị lạc đường đến địa điểm phỏng vấn.","Negative"
"Tôi ghi danh vào câu lạc bộ học thuật.","Neutral"
"Không khí làm việc trong team rất hỗ trợ nhau.","Positive"
"Tôi lo lắng về bài kiểm tra sắp tới.","Negative"
"Tôi đang đọc email hướng dẫn công việc.","Neutral"
"Tôi hoàn thành khóa thực tập với đánh giá tốt.","Positive"
"Tôi cảm thấy bị cô lập trong lớp học.","Negative"
"Tôi sắp xếp lại tài liệu học tập.","Neutral"
"Tôi nhận được phản hồi tích cực về bài viết.","Positive"
"Tôi mất tập trung vì tiếng ồn ở văn phòng.","Negative"
"Tôi đang xem danh sách các môn học tự chọn.","Neutral"
"Tôi vượt qua kỳ thi sát hạch năng lực.","Positive"
"Công việc quá nhiều thủ tục rườm rà.","Negative"
"Tôi tham khảo ý kiến của giảng viên.","Neutral"
"Tôi được mời phát biểu tại hội thảo.","Positive"
"Tôi cảm thấy mông lung về định hướng tương lai.","Negative"
"Tôi đang làm bài tập nhóm qua mạng.","Neutral"
"Tôi rất vui vì tìm được lỗi sai trong logic code.","Positive"
"Internet ở trường rất chậm.","Negative"
"Tôi đọc quy định mới của công ty.","Neutral"
"Tôi học được một phương pháp làm việc hiệu quả hơn.","Positive"
"Deadline của dự án bị dời lại.","Neutral"
"Tôi cảm thấy bị đánh giá thấp năng lực.","Negative"
"Tôi tham gia buổi workshop về kỹ năng viết CV.","Positive"
"Tôi đang chờ thang máy để lên văn phòng.","Neutral"
"Tôi nhận được tin nhắn cảm ơn từ khách hàng.","Positive"
"Tôi lỡ mất buổi học quan trọng do ngủ quên.","Negative"
"Tôi xem lại bản ghi âm bài giảng.","Neutral"
"Tôi được đồng nghiệp chia sẻ kinh nghiệm quý báu.","Positive"
"Tôi cảm thấy stress vì khối lượng công việc lớn.","Negative"
"Tôi chỉ đang kiểm tra lịch cá nhân.","Neutral"
"Tôi hoàn thành mục tiêu cá nhân đề ra trong tháng.","Positive"
"Máy tính bị nhiễm virus, tôi mất hết tài liệu.","Negative"
"Tôi đang tìm thông tin liên hệ của giáo vụ khoa.","Neutral"
"Tôi rất hào hứng với dự án sắp tới.","Positive"
"Buổi họp kéo dài và không đi đến kết luận.","Negative"
"Tôi đang cài đặt phần mềm cần thiết cho công việc.","Neutral"
"Tôi tìm được công việc thực tập đúng chuyên ngành.","Positive"
"Tôi cảm thấy không phù hợp với văn hóa công ty.","Negative"
"Tôi đọc email thông báo lịch họp đột xuất.","Neutral"
"Tôi đạt điểm tuyệt đối trong bài thi thực hành.","Positive"
"Tôi gặp khó khăn trong việc giao tiếp với sếp.","Negative"
"Tôi đang xem xét các chương trình sau đại học.","Neutral"
"Tôi hoàn thành báo cáo đúng thời hạn quy định.","Positive"
"Bài tập về nhà quá khó, tôi không làm được.","Negative"
"Tôi tham gia buổi tư vấn hướng nghiệp.","Neutral"
"Tôi nhận được thưởng cuối năm cao hơn mong đợi.","Positive"
"Tôi cảm thấy bị quá tải thông tin.","Negative"
"Tôi đang trả lời email của đồng nghiệp.","Neutral"
"Tôi tự tin trình bày ý tưởng của mình.","Positive"
"Tôi xung đột với thành viên trong nhóm học tập.","Negative"
"Tôi đang đợi xe buýt để đến trường.","Neutral"
"Tôi được ghi nhận đóng góp trong dự án chung.","Positive"
"Công việc đòi hỏi phải di chuyển nhiều, tôi khá mệt.","Negative"
"Tôi xem lại đề cương ôn tập cuối kỳ.","Neutral"
"Tôi rất thích thú khi học được kiến thức mới.","Positive"
"Tôi cảm thấy bế tắc trong việc tìm ý tưởng.","Negative"
"Tôi đang cập nhật trạng thái công việc trên hệ thống.","Neutral"
"Tôi hoàn thành xuất sắc nhiệm vụ được giao.","Positive"
"Tôi bị điểm kém môn không ngờ tới.","Negative"
"Tôi chỉ đang sắp xếp lại không gian làm việc.","Neutral"
"Tôi nhận được lời mời làm việc từ công ty mơ ước.","Positive"
"Môi trường làm việc khá ồn ào và xao nhãng.","Negative"
"Tôi đang tìm phòng học trống để tự học.","Neutral"
"Tôi học hỏi nhanh chóng quy trình làm việc mới.","Positive"
"Tôi cảm thấy áp lực từ sự kỳ vọng của gia đình.","Negative"
"Tôi tham gia buổi nói chuyện của cựu sinh viên.","Neutral"
"Tôi được tăng lương sau kỳ đánh giá.","Positive"
"Công việc không có nhiều cơ hội phát triển.","Negative"
"Tôi đang chuẩn bị cho bài kiểm tra 15 phút.","Neutral"
"Tôi rất vui vì đã giúp đỡ được đồng nghiệp.","Positive"
"Tôi gặp trục trặc khi nộp bài online.","Negative"
"Tôi đọc các bài báo nghiên cứu liên quan.","Neutral"
"Tôi hài lòng với tiến độ học tập của bản thân.","Positive"
"Tôi cảm thấy lạc lõng khi mới chuyển bộ phận.","Negative"
"Tôi đang xem thông tin tuyển dụng trên mạng.","Neutral"
"Tôi hoàn thành một dự án cá nhân tâm huyết.","Positive"
"Tôi bị sếp khiển trách trước mặt mọi người.","Negative"
"Tôi tham gia hoạt động ngoại khóa của trường.","Neutral"
"Tôi nhận được email xác nhận hoàn thành khóa học.","Positive"
"Công việc quá đơn điệu và lặp lại.","Negative"
"Tôi đang đợi giáo viên vào lớp.","Neutral"
"Tôi tự hào về sản phẩm mình làm ra.","Positive"
"Tôi cảm thấy khó khăn khi phải làm việc nhóm với người không hợp.","Negative"
"Tôi chỉ đang xem lại lịch trình ngày hôm nay.","Neutral"
"Tôi được chọn làm trưởng nhóm dự án.","Positive"
"Mất điện đột ngột, công việc bị gián đoạn.","Negative"
"Tôi đang tìm kiếm số điện thoại phòng đào tạo.","Neutral"
"Tôi rất ấn tượng với bài giảng của giáo sư khách mời.","Positive"
"Tôi cảm thấy bị đối xử bất công trong việc phân công nhiệm vụ.","Negative"
"Tôi tham gia một cuộc khảo sát về mức độ hài lòng công việc.","Neutral"
"Tôi đạt được thỏa thuận quan trọng với đối tác.","Positive"
"Tôi lo lắng vì chưa chuẩn bị kịp cho buổi họp.","Negative"
"Tôi đang đọc email chung của toàn công ty.","Neutral"
"Tôi hoàn thành chương trình thực tập sinh xuất sắc.","Positive"
"Tôi cảm thấy nản lòng vì tìm việc mãi chưa được.","Negative"
"Tôi xem thông báo kết quả thi trên website trường.","Neutral"
"Tôi tự tin áp dụng kiến thức đã học vào thực tế.","Positive"
"Tôi gặp khó khăn trong việc cân bằng giữa học và làm.","Negative"
"Tôi đang ghi chép lại những ý chính của bài học.","Neutral"
"Tôi nhận được quà cảm ơn từ khách hàng thân thiết.","Positive"
"Tôi bị từ chối đề xuất tăng lương.","Negative"
"Tôi tham dự lễ tốt nghiệp của bạn.","Neutral"
"Tôi rất vui khi giải được bài toán khó.","Positive"
"Tôi cảm thấy bị bỏ rơi trong các hoạt động nhóm.","Negative"
"Tôi đang cập nhật phần mềm học tập.","Neutral"
"Tôi được công nhận là sinh viên tiêu biểu của khoa.","Positive"
"Công việc đòi hỏi phải học hỏi liên tục, tôi hơi áp lực.","Negative"
"Tôi chỉ đang xem qua các đầu việc cần làm.","Neutral"
"Tôi hài lòng với sự hỗ trợ từ bộ phận IT.","Positive"
"Tôi quên mang tài liệu quan trọng đến cuộc họp.","Negative"
"Tôi đang tìm đường đến văn phòng mới.","Neutral"
"Tôi học được cách quản lý thời gian hiệu quả hơn.","Positive"
"Tôi cảm thấy không được tôn trọng ý kiến cá nhân.","Negative"
"Tôi tham gia buổi chia sẻ kinh nghiệm học tiếng Anh.","Neutral"
"Tôi đạt doanh số vượt chỉ tiêu đề ra.","Positive"
"Tôi mệt mỏi vì phải di chuyển xa đến chỗ làm.","Negative"
"Tôi đang xem lại các quy tắc ứng xử nơi công sở.","Neutral"
"Tôi tìm ra giải pháp sáng tạo cho vấn đề cũ.","Positive"
"Tôi cảm thấy thất vọng về kết quả dự án.","Negative"
"Tôi đang đợi nhận xét từ giảng viên về bài luận.","Neutral"
"Tôi rất hào hứng khi được tham gia dự án quốc tế.","Positive"
"Công việc quá tải, tôi không có thời gian nghỉ ngơi.","Negative"
"Tôi chỉ đang kiểm tra lại thông tin cá nhân.","Neutral"
"Tôi hoàn thành khóa đào tạo nội bộ với kết quả cao.","Positive"
"Tôi bị hiểu lầm ý trong buổi thảo luận nhóm.","Negative"
"Tôi tham gia hội chợ việc làm của trường.","Neutral"
"Tôi nhận được bằng khen vì thành tích xuất sắc.","Positive"
"Tôi cảm thấy chán nản vì không tìm được việc làm phù hợp.","Negative"
"Tôi đang đọc tin tức về ngành học của mình.","Neutral"
"Tôi rất vui vì được làm việc với những người giỏi.","Positive"
"Tôi gặp khó khăn khi thích nghi với môi trường làm việc mới.","Negative"
"Tôi đang chuẩn bị hồ sơ xin việc.","Neutral"
"Tôi tự hào khi thấy sản phẩm của mình được ra mắt.","Positive"
"Tôi cảm thấy bị đánh giá không khách quan.","Negative"
"Tôi tham gia seminar về trí tuệ nhân tạo.","Neutral"
"Tôi được sếp tạo điều kiện để phát triển bản thân.","Positive"
"Áp lực từ công việc khiến tôi mất ngủ.","Negative"
"Tôi đang xem lại các yêu cầu của bài tập lớn.","Neutral"
"Tôi hài lòng với mức lương và phúc lợi hiện tại.","Positive"
"Tôi bị trễ deadline nộp báo cáo.","Negative"
"Tôi chỉ đang đọc email thông báo nghỉ họp.","Neutral"
"Tôi nhận được chứng chỉ hoàn thành khóa học online.","Positive"
"Tôi cảm thấy không có tiếng nói trong công ty.","Negative"
"Tôi đang tìm kiếm tài liệu ở thư viện trực tuyến.","Neutral"
"Tôi rất vui vì nhận được sự giúp đỡ khi cần.","Positive"
"Công việc đòi hỏi kỹ năng mà tôi chưa có.","Negative"
"Tôi tham gia buổi hướng dẫn sử dụng phần mềm mới.","Neutral"
"Tôi đạt được thỏa thuận về lương với nhà tuyển dụng.","Positive"
"Tôi cảm thấy kiệt sức vì lịch học quá dày.","Negative"
"Tôi đang kiểm tra lại lỗi chính tả trong bài viết.","Neutral"
"Tôi tự tin hơn sau khi hoàn thành khóa học kỹ năng.","Positive"
"Tôi bị đồng nghiệp nói xấu sau lưng.","Negative"
"Tôi chỉ đang xem giờ trên máy tính.","Neutral"
"Tôi hoàn thành dự án đúng tiến độ và chất lượng.","Positive"
"Tôi gặp khó khăn khi sử dụng thiết bị phòng thí nghiệm.","Negative"
"Tôi đang đọc hướng dẫn an toàn lao động.","Neutral"
"Tôi rất thích văn hóa chia sẻ kiến thức ở đây.","Positive"
"Tôi cảm thấy bị lợi dụng trong công việc.","Negative"
"Tôi tham gia câu lạc bộ nhiếp ảnh của trường.","Neutral"
"Tôi được khen ngợi về thái độ làm việc chuyên nghiệp.","Positive"
"Tôi mệt mỏi vì phải học thuộc quá nhiều lý thuyết.","Negative"
"Tôi đang đợi email phản hồi về đề xuất.","Neutral"
"Tôi tìm được cách giải quyết vấn đề tồn đọng.","Positive"
"Tôi cảm thấy không công bằng khi phân chia công việc nhóm.","Negative"
"Tôi chỉ đang xem lịch thi đấu thể thao của trường.","Neutral"
"Tôi nhận được đánh giá tích cực từ người quản lý trực tiếp.","Positive"
"Tôi bị trừ điểm vì nộp bài muộn.","Negative"
"Tôi đang xem lại bản nháp của báo cáo.","Neutral"
"Tôi rất vui vì bài báo của mình được đăng.","Positive"
"Tôi cảm thấy áp lực khi phải cạnh tranh với đồng nghiệp.","Negative"
"Tôi tham gia buổi giao lưu với doanh nghiệp.","Neutral"
"Tôi hoàn thành mục tiêu doanh số cá nhân sớm.","Positive"
"Tôi mệt mỏi vì phải tham gia quá nhiều cuộc họp vô bổ.","Negative"
"Tôi đang tìm kiếm thông tin về học bổng.","Neutral"
"Tôi học được nhiều kỹ năng thực tế từ công việc.","Positive"
"Tôi cảm thấy không được ghi nhận xứng đáng.","Negative"
"Tôi chỉ đang sắp xếp lại các file trên máy tính.","Neutral"
"Tôi rất hài lòng với kết quả làm việc nhóm.","Positive"
"Tôi gặp sự cố với tài khoản đăng nhập hệ thống.","Negative"
"Tôi đang đọc email mời tham dự sự kiện.","Neutral"
"Tôi tự hào về sự tiến bộ của bản thân qua từng ngày.","Positive"
"Tôi cảm thấy buồn vì kết quả học tập không như ý.","Negative"
"Tôi tham gia một khóa học vẽ thư giãn.","Neutral"
"Tôi được đề bạt lên vị trí quản lý nhóm.","Positive"
"Công việc quá áp lực, ảnh hưởng sức khỏe của tôi.","Negative"
"Tôi đang chuẩn bị câu hỏi cho buổi phỏng vấn.","Neutral"
"Tôi rất vui vì ý tưởng sáng tạo được đưa vào thực hiện.","Positive"
"Tôi bị phê bình vì một lỗi nhỏ không đáng có.","Negative"
"Tôi chỉ đang đọc nội quy phòng học.","Neutral"
"Tôi hoàn thành bài thi cuối kỳ một cách suôn sẻ.","Positive"
"Tôi cảm thấy khó khăn khi phải làm việc độc lập.","Negative"
"Tôi đang tìm thông tin về các khóa học hè.","Neutral"
"Tôi nhận được sự công nhận từ ban lãnh đạo công ty.","Positive"
"Tôi mệt mỏi vì công việc không có điểm dừng.","Negative"
"Tôi tham gia buổi workshop về quản lý dự án.","Neutral"
"Tôi rất hào hứng với cơ hội học hỏi mới.","Positive"
"Tôi bị mất tài liệu quan trọng do máy tính hỏng.","Negative"
"Tôi đang xem xét các lựa chọn cho kỳ thực tập.","Neutral"
"Tôi hài lòng với sự hợp tác của các thành viên trong team.","Positive"
"Tôi cảm thấy bị cô lập trong môi trường làm việc.","Negative"
"Tôi chỉ đang lướt web tìm cảm hứng làm việc.","Neutral"
"Tôi đạt được chứng chỉ ngoại ngữ mới.","Positive"
"Tôi gặp khó khăn khi trình bày ý kiến trước đám đông.","Negative"
"Tôi đang đọc email thông báo về thay đổi nhân sự.","Neutral"
"Tôi rất vui vì đã vượt qua được thử thách khó khăn.","Positive"
"Tôi cảm thấy không hài lòng với cách quản lý của sếp.","Negative"
"Tôi tham gia buổi hội thảo chuyên ngành.","Neutral"
"Tôi được thưởng một chuyến du lịch vì thành tích tốt.","Positive"
"Áp lực công việc khiến tôi cảm thấy căng thẳng.","Negative"
"Tôi đang soạn email xin nghỉ phép.","Neutral"
"Tôi tìm được phương pháp học tập phù hợp với bản thân.","Positive"
"Tôi bị từ chối tham gia dự án yêu thích.","Negative"
"Tôi chỉ đang kiểm tra lại lịch trình tuần tới.","Neutral"
"Tôi hoàn thành khóa học với điểm số cao nhất lớp.","Positive"
"Tôi cảm thấy mệt mỏi vì phải di chuyển liên tục.","Negative"
"Tôi đang đọc bản mô tả công việc mới.","Neutral"
"Tôi rất vui vì được làm việc trong môi trường chuyên nghiệp.","Positive"
"Tôi gặp khó khăn trong việc quản lý thời gian hiệu quả.","Negative"
"Tôi tham gia buổi thực hành tại phòng thí nghiệm.","Neutral"
"Tôi nhận được lời khen về kỹ năng giao tiếp.","Positive"
"Tôi cảm thấy thất vọng vì không đạt được mục tiêu đề ra.","Negative"
"Tôi đang chờ kết quả phỏng vấn vòng cuối.","Neutral"
"Tôi tự tin với kiến thức và kỹ năng mình có.","Positive"
"Tôi bị nhắc nhở vì đi làm muộn.","Negative"
"Tôi chỉ đang xem lại ghi chú cuộc họp trước.","Neutral"
"Tôi hoàn thành xuất sắc một dự án phức tạp.","Positive"
"Tôi cảm thấy nhàm chán với các nhiệm vụ lặp đi lặp lại.","Negative"
"Tôi đang chuẩn bị tài liệu cho buổi đào tạo.","Neutral"
"Tôi rất vui vì được công ty tài trợ đi học thêm.","Positive"
"Tôi gặp sự cố mạng khi đang làm việc online.","Negative"
"Tôi tham gia buổi giới thiệu sách mới tại thư viện.","Neutral"
"Tôi được đồng nghiệp tin tưởng và tôn trọng.","Positive"
"Tôi cảm thấy áp lực khi phải đưa ra quyết định quan trọng.","Negative"
"Tôi đang xem lại email cũ để tìm thông tin.","Neutral"
"Tôi học hỏi được nhiều điều từ những sai lầm.","Positive"
"Tôi bị đánh giá thấp hơn so với năng lực thực tế.","Negative"
"Tôi chỉ đang nghỉ giải lao giữa giờ.","Neutral"
"Tôi rất hài lòng với sự tiến bộ trong công việc.","Positive"
"Tôi quên nộp bài tập đúng hạn.","Negative"
"Tôi đang tìm kiếm mẫu báo cáo trên mạng.","Neutral"
"Tôi nhận được email cảm ơn từ đối tác.","Positive"
"Tôi cảm thấy không thoải mái khi làm việc dưới sự giám sát chặt chẽ.","Negative"
"Tôi tham gia hoạt động tình nguyện do trường tổ chức.","Neutral"
"Tôi được thăng tiến nhanh hơn dự kiến.","Positive"
"Công việc hiện tại không phù hợp với định hướng cá nhân của tôi.","Negative"
"Tôi đang xem lại bài giảng online.","Neutral"
"Tôi rất vui vì đã đóng góp vào thành công chung của nhóm.","Positive"
"Tôi gặp khó khăn khi phải làm việc với dữ liệu lớn.","Negative"
"Tôi chỉ đang kiểm tra thông báo trên hệ thống nội bộ.","Neutral"
"Tôi hoàn thành chương trình đào tạo kỹ năng lãnh đạo.","Positive"
"Tôi cảm thấy bế tắc khi giải quyết vấn đề kỹ thuật.","Negative"
"Tôi đang chuẩn bị cho kỳ thi giữa kỳ.","Neutral"
"Tôi nhận được phản hồi rất tích cực từ người dùng.","Positive"
"Tôi mệt mỏi vì phải tham dự các sự kiện xã giao không cần thiết.","Negative"
"Tôi tham gia buổi nói chuyện về khởi nghiệp.","Neutral"
"Tôi rất hào hứng với công nghệ mới được áp dụng.","Positive"
"Tôi bị sai sót trong báo cáo tài chính.","Negative"
"Tôi đang đợi phê duyệt yêu cầu từ cấp trên.","Neutral"
"Tôi tìm được nguồn cảm hứng mới cho công việc.","Positive"
"Tôi cảm thấy không được lắng nghe trong các cuộc họp.","Negative"
"Tôi chỉ đang sắp xếp lại lịch trình cá nhân.","Neutral"
"Tôi hoàn thành tốt đẹp vai trò của mình trong dự án.","Positive"
"Tôi gặp vấn đề tương thích phần mềm.","Negative"
"Tôi đang đọc email hướng dẫn quy trình mới.","Neutral"
"Tôi rất vui vì được làm công việc mình yêu thích.","Positive"
